"","date_time","gw_va_shen","p_va_shen","sw_va_shen","r_va_shen","gw_va_nova","p_va_nova","sw_va_nova","r_va_nova","region_md_cent","region_md_west"
"105",2038-04-15,0,0,0,0,0,0,0,0,0,0
"106",2038-04-16,0,0,0,0,0,0,0,0,0,0
"107",2038-04-17,0,0,0,0,0,0,0,0,0,0
"108",2038-04-18,0,0,0,0,0,0,0,0,0,0
"109",2038-04-19,0,0,0,0,0,0,0,0,0,0
"110",2038-04-20,0,0,0,0,0,0,0,0,0,0
"111",2038-04-21,0,0,0,0,0,0,0,0,0,0
"112",2038-04-22,0,0,0,0,0,0,0,0,0,0
"113",2038-04-23,0,0,0,0,0,0,0,0,0,0
"114",2038-04-24,0,0,0,0,0,0,0,0,0,0
"115",2038-04-25,0,0,0,0,0,0,0,0,0,0
"116",2038-04-26,0,0,0,0,0,0,0,0,0,0
"117",2038-04-27,0,0,0,0,0,0,0,0,0,0
"118",2038-04-28,0,0,0,0,0,0,0,0,0,0
"119",2038-04-29,0,0,0,0,0,0,1,0,0,0
"120",2038-04-30,0,0,0,0,0,0,1,0,0,0
"121",2038-05-01,0,0,0,0,0,0,0,0,0,0
"122",2038-05-02,0,0,0,0,0,0,0,0,0,0
"123",2038-05-03,0,0,0,0,0,0,0,0,0,0
"124",2038-05-04,0,0,0,0,0,0,0,0,0,0
"125",2038-05-05,0,0,0,0,0,0,0,0,0,0
"126",2038-05-06,0,0,0,0,0,0,0,0,0,0
"127",2038-05-07,0,0,0,0,0,0,0,0,0,0
"128",2038-05-08,0,0,0,0,0,0,0,0,0,0
"129",2038-05-09,0,0,0,0,0,0,0,0,0,0
"130",2038-05-10,0,0,0,0,0,0,0,0,0,0
"131",2038-05-11,0,0,0,0,0,0,0,0,0,0
"132",2038-05-12,0,0,0,0,0,0,0,0,0,0
"133",2038-05-13,0,0,0,0,1,0,0,0,0,0
"134",2038-05-14,0,0,0,0,1,0,0,0,0,0
"135",2038-05-15,0,0,0,0,1,0,0,0,0,0
"136",2038-05-16,0,0,0,0,1,0,0,0,0,0
"137",2038-05-17,0,0,0,0,1,0,0,0,0,0
"138",2038-05-18,0,0,0,0,1,0,0,0,0,0
"139",2038-05-19,0,0,0,0,1,0,0,0,0,0
"140",2038-05-20,0,0,0,0,1,0,1,0,0,0
