"","date_time","gw_va_shen","p_va_shen","sw_va_shen","r_va_shen","gw_va_nova","p_va_nova","sw_va_nova","r_va_nova","region_md_cent","region_md_west"
"91",2019-06-30,3,0,0,0,1,0,0,0,0,0
"92",2019-07-01,3,0,0,0,0,0,0,0,0,0
"93",2019-07-02,3,0,0,0,0,0,0,0,0,0
"94",2019-07-03,3,0,0,0,0,0,0,0,0,0
"95",2019-07-04,3,0,0,0,0,0,0,0,0,0
"96",2019-07-05,3,0,0,0,0,0,0,0,0,0
"97",2019-07-06,3,0,0,0,0,0,0,0,0,0
"98",2019-07-07,3,0,0,0,0,0,1,0,0,0
"99",2019-07-08,3,0,0,0,0,0,0,0,0,0
"100",2019-07-09,3,0,0,0,0,0,0,0,0,0
"101",2019-07-10,3,0,0,0,0,0,0,0,0,0
"102",2019-07-11,3,0,0,0,0,0,0,0,0,0
"103",2019-07-12,3,0,0,0,0,0,0,0,0,0
"104",2019-07-13,3,0,0,0,0,0,0,0,0,0
"105",2019-07-14,3,0,0,0,0,0,0,0,0,0
"106",2019-07-15,3,0,0,0,0,0,0,0,0,0
"107",2019-07-16,3,0,0,0,0,0,1,0,0,0
"108",2019-07-17,3,0,0,0,0,0,1,0,0,0
"109",2019-07-18,3,0,0,0,0,0,1,0,0,0
"110",2019-07-19,3,0,0,0,0,0,1,0,0,0
"111",2019-07-20,3,0,0,0,0,0,1,0,0,0
"112",2019-07-21,3,0,1,0,0,0,2,0,0,0
"113",2019-07-22,3,0,1,0,0,0,2,0,0,0
"114",2019-07-23,3,0,1,0,0,0,2,0,0,0
"115",2019-07-24,3,0,1,0,0,0,2,0,0,0
"116",2019-07-25,3,0,1,0,1,0,2,0,0,0
"117",2019-07-26,3,0,1,0,1,0,2,0,0,0
"118",2019-07-27,3,0,1,0,1,0,2,0,0,0
"119",2019-07-28,3,0,1,0,1,0,2,0,0,0
"120",2019-07-29,3,0,2,0,1,0,3,0,0,0
"121",2019-07-30,3,0,2,0,1,0,3,0,0,0
"122",2019-07-31,3,0,2,0,1,0,1,0,0,0
"123",2019-08-01,2,0,1,1,0,0,1,1,0,0
"124",2019-08-02,2,0,1,1,0,0,1,1,0,0
"125",2019-08-03,2,0,1,1,0,0,1,1,0,0
"126",2019-08-04,3,0,1,1,0,0,1,1,0,0
