"","date_time","storage","storage_ws","storage_wq","inflow","withdr","outflow","outflow_ws","outflow_wq","withdr_req","rel_req","ws_rel_req","wq_rel_req","available"
"1",1930-01-01,28223,13000,15000,350.73,0,120,0,120,0,300,0,120,28573.73
"2",1930-01-02,28453.73,12576.1688,15646.8312,448.09,0,5818,0,5818,0,5818,0,5818,28901.82
"3",1930-01-03,23083.82,12576.1688,10507.6512,519.44,0,5818,0,5818,0,5818,0,5818,23603.26
