"","date_time","storage","storage_ws","storage_wq","inflow","withdr","outflow","outflow_ws","outflow_wq","withdr_req","rel_req","ws_rel_req","wq_rel_req","available"
"1",2038-01-01,19795,13000,8000,234.2,0,120,0,120,0,300,0,120,20029.2
"2",2038-01-02,19909.2,12576.1688,7333.0312,211.3,0,325.5,0,300,0,300,0,300,20120.5
"3",2038-01-03,19795,12576.1688,7218.8312,200.4,0,970,0,970,0,970,0,970,19995.4
"4",2038-01-04,19025.4,12576.1688,6449.2312,229,0,300,0,300,0,300,0,300,19254.4
"5",2038-01-05,18954.4,12576.1688,6378.2312,330,0,300,0,300,0,300,0,300,19284.4
"6",2038-01-06,18984.4,12576.1688,6408.2312,391.3,0,300,0,300,0,300,0,300,19375.7
"7",2038-01-07,19075.7,12576.1688,6499.5312,492.4,0,300,0,300,0,300,0,300,19568.1
"8",2038-01-08,19268.1,12576.1688,6691.9312,3051,0,2524.1,0,300,0,300,0,300,22319.1
"9",2038-01-09,19795,12576.1688,7218.8312,1426.2,0,1426.2,0,300,0,300,0,300,21221.2
"10",2038-01-10,19795,12576.1688,7218.8312,998.1,0,998.099999999999,0,300,0,300,0,300,20793.1
"11",2038-01-11,19795,12576.1688,7218.8312,790,0,790,0,300,0,300,0,300,20585
"12",2038-01-12,19795,12576.1688,7218.8312,595.8,0,595.799999999999,0,300,0,300,0,300,20390.8
"13",2038-01-13,19795,12576.1688,7218.8312,533.4,0,533.400000000001,0,300,0,300,0,300,20328.4
"14",2038-01-14,19795,12576.1688,7218.8312,494.3,0,494.299999999999,0,300,0,300,0,300,20289.3
"15",2038-01-15,19795,12576.1688,7218.8312,448.6,0,448.599999999999,0,300,0,300,0,300,20243.6
"16",2038-01-16,19795,12576.1688,7218.8312,486,0,486,0,300,0,300,0,300,20281
"17",2038-01-17,19795,12576.1688,7218.8312,444.4,0,444.400000000001,0,300,0,300,0,300,20239.4
"18",2038-01-18,19795,12576.1688,7218.8312,441.6,0,441.599999999999,0,300,0,300,0,300,20236.6
"19",2038-01-19,19795,12576.1688,7218.8312,427.8,0,427.799999999999,0,300,0,300,0,300,20222.8
"20",2038-01-20,19795,12576.1688,7218.8312,396,0,396,0,300,0,300,0,300,20191
"21",2038-01-21,19795,12576.1688,7218.8312,375,0,375,0,300,0,300,0,300,20170
"22",2038-01-22,19795,12576.1688,7218.8312,357,0,357,0,300,0,300,0,300,20152
"23",2038-01-23,19795,12576.1688,7218.8312,424.6,0,424.599999999999,0,300,0,300,0,300,20219.6
"24",2038-01-24,19795,12576.1688,7218.8312,574.7,0,574.700000000001,0,300,0,300,0,300,20369.7
"25",2038-01-25,19795,12576.1688,7218.8312,563,0,563,0,300,0,300,0,300,20358
"26",2038-01-26,19795,12576.1688,7218.8312,456.5,0,456.5,0,300,0,300,0,300,20251.5
"27",2038-01-27,19795,12576.1688,7218.8312,433.6,0,433.599999999999,0,300,0,300,0,300,20228.6
"28",2038-01-28,19795,12576.1688,7218.8312,751.9,0,751.900000000001,0,300,0,300,0,300,20546.9
"29",2038-01-29,19795,12576.1688,7218.8312,1181.6,0,1181.6,0,300,0,300,0,300,20976.6
